id,split,color,label,dim,car,motorbicycle,bicycle,person,rider,truck,bus,tricycle,others,rover,sky,car_groups,motorbicycle_group,bicycle_group,person_group,rider_group,truck_group,bus_group,tricycle_group,road,siderwalk,traffic_cone,road_pile,fence,traffic_light,pole,traffic_sign,wall,dustbin,billboard,building,bridge,tunnel,overpass,vegatation,unlabeled
170908_061502408_Camera_5,train,/content/drive/My Drive/Capstone/train_color/170908_061502408_Camera_5.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502408_Camera_5_instanceIds.png,"(2710, 3384)",0.001404809260858566,0.0,0.0,0.0,0.0,0.0,2.4970994390794973e-05,2.2681077874608534e-05,0.9985475386668761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502408_Camera_6,train,/content/drive/My Drive/Capstone/train_color/170908_061502408_Camera_6.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502408_Camera_6_instanceIds.png,"(2710, 3384)",6.302722601694102e-05,0.0,0.0,0.0,0.0,0.0,2.9659871066795776e-05,2.4861950747167045e-05,0.9998824509521691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502547_Camera_5,train,/content/drive/My Drive/Capstone/train_color/170908_061502547_Camera_5.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502547_Camera_5_instanceIds.png,"(2710, 3384)",0.0012532385962157493,0.0,0.0,0.0,0.0,0.0,3.0968394790330885e-05,3.4675878673680354e-05,0.9986811171303203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502547_Camera_6,train,/content/drive/My Drive/Capstone/train_color/170908_061502547_Camera_6.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502547_Camera_6_instanceIds.png,"(2710, 3384)",6.42267060968482e-05,0.0,0.0,0.0,0.0,0.0,2.431673252902742e-05,2.2353946943724755e-05,0.9998891026144304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502686_Camera_5,train,/content/drive/My Drive/Capstone/train_color/170908_061502686_Camera_5.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502686_Camera_5_instanceIds.png,"(2710, 3384)",0.0021698594645520922,0.0,0.0,0.0,0.0,0.0,2.8133260056004817e-05,2.7588041837865187e-05,0.997774419233554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502686_Camera_6,train,/content/drive/My Drive/Capstone/train_color/170908_061502686_Camera_6.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502686_Camera_6_instanceIds.png,"(2710, 3384)",6.80432336238256e-05,0.0,0.0,0.0,0.0,0.0,2.6933779976097633e-05,3.1840743939354286e-05,0.9998731822424607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502825_Camera_5,train,/content/drive/My Drive/Capstone/train_color/170908_061502825_Camera_5.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502825_Camera_5_instanceIds.png,"(2710, 3384)",0.002151103957848089,0.0,0.0,0.0,0.0,0.0,2.4970994390794973e-05,2.377151431088779e-05,0.9977382167438695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.193678958066177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502825_Camera_6,train,/content/drive/My Drive/Capstone/train_color/170908_061502825_Camera_6.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502825_Camera_6_instanceIds.png,"(2710, 3384)",5.833834934094022e-05,0.0,0.0,0.0,0.0,0.0,2.279012151823646e-05,2.6824736332469708e-05,0.9998920467928084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502964_Camera_5,train,/content/drive/My Drive/Capstone/train_color/170908_061502964_Camera_5.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502964_Camera_5_instanceIds.png,"(2710, 3384)",0.004924410946237122,0.0,0.0,0.0,0.0,0.0,2.8351347343260667e-05,2.1590641438329276e-05,0.9949802849092321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.536215574921707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170908_061502964_Camera_6,train,/content/drive/My Drive/Capstone/train_color/170908_061502964_Camera_6.jpg,/content/drive/My Drive/Capstone/train_label/170908_061502964_Camera_6_instanceIds.png,"(2710, 3384)",6.302722601694102e-05,0.0,0.0,0.0,0.0,0.0,2.9550827423167847e-05,3.107743843395881e-05,0.9998763445081259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
